,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Generation
348,42,No,Research & Development,23,5,Life Sciences,1,Female,44,3,Research Director,4,Single,15992,2,No,14,2,80,0,16,2,3,1,0,0,0,Gen X
349,29,No,Sales,2,3,Life Sciences,4,Male,61,3,Sales Executive,3,Married,4649,1,No,14,1,80,1,4,3,2,4,3,0,2,Millenials
350,42,No,Human Resources,2,1,Technical Degree,3,Male,52,3,Human Resources,3,Divorced,2696,0,Yes,11,3,80,1,4,5,3,3,2,1,0,Gen X
351,32,No,Research & Development,2,3,Medical,3,Female,75,3,Laboratory Technician,2,Married,2370,1,No,13,3,80,1,8,4,3,8,0,0,7,Millenials
352,48,No,Sales,29,1,Medical,1,Female,91,3,Manager,3,Married,12504,3,No,21,2,80,1,15,3,1,0,0,0,0,Gen X
353,37,No,Research & Development,6,3,Medical,3,Male,51,4,Research Scientist,1,Divorced,5974,4,Yes,13,1,80,2,13,2,3,7,7,6,7,Millenials
354,30,No,Sales,25,2,Technical Degree,4,Female,85,3,Sales Executive,3,Married,4736,7,Yes,12,2,80,1,4,2,4,2,2,2,2,Millenials
355,26,No,Sales,1,3,Life Sciences,3,Male,57,3,Sales Executive,3,Married,5296,1,No,17,2,80,1,8,3,3,8,7,7,7,Millenials
356,42,No,Research & Development,2,4,Other,1,Male,98,2,Healthcare Representative,4,Single,6781,3,No,23,2,80,0,14,6,3,1,0,0,0,Gen X
357,21,Yes,Sales,1,1,Technical Degree,1,Female,99,2,Sales Representative,2,Single,2174,1,Yes,11,3,80,0,3,3,3,3,2,1,2,Gen Z
358,36,No,Sales,1,5,Medical,4,Female,45,3,Sales Executive,4,Single,6653,4,No,15,2,80,0,7,6,3,1,0,0,0,Millenials
359,36,No,Sales,3,4,Medical,1,Male,48,2,Sales Executive,4,Married,9699,4,No,11,1,80,1,16,2,3,13,9,1,12,Millenials
360,57,No,Research & Development,1,4,Medical,4,Male,88,3,Healthcare Representative,3,Married,6755,2,No,11,3,80,0,15,2,3,3,2,1,2,Baby Boomers
361,40,No,Research & Development,10,4,Life Sciences,4,Female,46,4,Laboratory Technician,3,Married,2213,3,Yes,13,3,80,1,10,3,3,7,7,1,7,Millenials
362,21,No,Sales,9,2,Medical,1,Male,39,3,Sales Representative,4,Single,2610,1,No,24,3,80,0,3,3,2,3,2,2,2,Gen Z
363,33,Yes,Sales,5,3,Marketing,4,Female,34,3,Sales Representative,3,Single,2851,1,Yes,13,2,80,0,1,2,3,1,0,0,0,Millenials
364,37,No,Research & Development,10,3,Medical,3,Female,98,3,Laboratory Technician,1,Married,3452,6,No,20,2,80,1,17,3,3,5,4,0,3,Millenials
365,46,No,Research & Development,7,4,Medical,3,Female,30,3,Manufacturing Director,3,Married,5258,2,No,14,3,80,0,7,2,4,1,0,0,0,Gen X
366,41,Yes,Sales,4,3,Marketing,1,Male,56,3,Sales Executive,2,Single,9355,1,No,18,3,80,0,8,5,3,8,7,7,7,Gen X
367,50,No,Research & Development,10,3,Technical Degree,4,Male,100,2,Healthcare Representative,4,Single,10496,6,No,15,4,80,0,20,2,3,4,3,1,3,Gen X
368,40,Yes,Sales,22,2,Marketing,3,Male,68,2,Sales Executive,3,Married,6380,2,Yes,12,1,80,2,8,6,3,6,4,1,0,Millenials
369,31,No,Research & Development,9,4,Life Sciences,3,Male,42,2,Research Scientist,2,Single,2657,0,Yes,16,4,80,0,3,5,3,2,2,2,2,Millenials
370,21,Yes,Sales,12,3,Life Sciences,3,Female,90,4,Sales Representative,2,Single,2716,1,No,15,4,80,0,1,0,3,1,0,0,0,Gen Z
371,29,No,Research & Development,23,3,Life Sciences,4,Male,54,3,Research Scientist,4,Single,2201,9,No,16,4,80,0,6,4,3,3,2,1,2,Millenials
372,35,No,Research & Development,9,4,Life Sciences,3,Male,97,2,Healthcare Representative,2,Single,6540,9,No,19,3,80,0,10,5,3,1,1,0,0,Millenials
373,27,No,Research & Development,1,2,Medical,4,Male,82,3,Laboratory Technician,2,Divorced,3816,1,No,11,2,80,1,5,2,3,5,2,0,4,Millenials
374,28,No,Sales,9,4,Life Sciences,2,Male,92,3,Sales Executive,4,Single,5253,1,No,16,4,80,0,7,1,3,7,5,0,7,Millenials
375,49,No,Research & Development,7,3,Other,2,Male,31,2,Healthcare Representative,3,Single,10965,8,No,24,3,80,0,26,2,3,5,2,0,0,Gen X
376,51,No,Sales,14,2,Life Sciences,3,Female,87,3,Sales Executive,4,Married,4936,4,No,11,3,80,1,18,2,2,7,7,0,7,Gen X
377,36,No,Research & Development,2,3,Life Sciences,4,Female,96,3,Research Scientist,3,Married,2543,4,No,13,2,80,1,6,3,3,2,2,2,2,Millenials
378,34,Yes,Sales,19,3,Marketing,1,Male,67,4,Sales Executive,4,Single,5304,8,Yes,13,2,80,0,9,3,2,5,2,0,4,Millenials
379,55,No,Research & Development,2,3,Life Sciences,3,Female,97,3,Manager,4,Single,16659,2,Yes,13,3,80,0,30,2,3,5,4,1,2,Gen X
380,24,No,Sales,10,4,Marketing,4,Female,77,3,Sales Executive,3,Divorced,4260,1,Yes,12,4,80,1,5,2,4,5,2,0,3,Gen Z
381,30,No,Sales,2,1,Technical Degree,3,Male,72,3,Sales Representative,2,Married,2476,1,No,18,1,80,1,1,3,3,1,0,0,0,Millenials
382,26,Yes,Research & Development,3,1,Technical Degree,3,Male,73,3,Research Scientist,1,Single,3102,0,No,22,3,80,0,7,2,3,6,4,0,4,Millenials
383,22,No,Research & Development,11,3,Medical,1,Female,43,3,Research Scientist,2,Married,2244,1,No,13,4,80,1,2,1,3,2,1,1,2,Gen Z
384,36,No,Sales,2,2,Medical,2,Male,61,2,Sales Executive,3,Married,7596,1,No,13,2,80,2,10,2,3,10,9,9,0,Millenials
385,30,Yes,Research & Development,4,3,Technical Degree,3,Male,40,3,Research Scientist,4,Single,2285,9,Yes,23,3,80,0,3,4,3,1,0,0,0,Millenials
386,37,No,Research & Development,14,3,Life Sciences,4,Female,95,3,Laboratory Technician,1,Divorced,3034,1,No,12,3,80,1,18,2,2,18,7,12,17,Millenials
387,40,No,Sales,2,2,Marketing,4,Female,46,3,Sales Executive,2,Divorced,5715,7,No,12,3,80,2,8,5,3,5,4,1,3,Millenials
388,42,No,Research & Development,1,4,Life Sciences,2,Female,95,3,Laboratory Technician,1,Divorced,2576,3,No,16,2,80,1,8,5,3,5,2,1,2,Gen X
389,37,No,Research & Development,10,4,Life Sciences,3,Male,49,3,Manufacturing Director,2,Single,4197,2,Yes,12,4,80,0,18,2,2,1,0,0,1,Millenials
390,43,No,Research & Development,12,3,Life Sciences,1,Male,59,2,Research Director,2,Divorced,14336,1,No,11,3,80,1,25,3,3,25,10,3,9,Gen X
391,40,No,Research & Development,2,3,Medical,2,Female,78,2,Laboratory Technician,3,Married,3448,6,No,22,2,80,1,20,3,3,1,0,0,0,Millenials
392,54,No,Research & Development,5,2,Medical,1,Male,86,3,Research Director,1,Married,19406,4,No,11,3,80,1,24,4,2,4,2,1,2,Gen X
393,34,No,Sales,4,4,Marketing,3,Female,72,3,Sales Executive,3,Married,6538,9,No,15,1,80,1,6,3,3,3,2,1,2,Millenials
394,31,No,Research & Development,7,2,Medical,2,Female,31,3,Manufacturing Director,1,Married,4306,1,No,12,2,80,1,13,5,1,13,10,3,12,Millenials
395,43,No,Research & Development,21,3,Medical,4,Male,61,3,Laboratory Technician,4,Married,2258,7,No,20,1,80,1,8,1,3,3,2,1,2,Gen X
396,43,No,Research & Development,8,4,Other,3,Female,74,3,Healthcare Representative,3,Divorced,4522,4,Yes,14,4,80,0,8,3,3,5,2,0,2,Gen X
397,25,No,Sales,4,2,Life Sciences,2,Female,99,2,Sales Executive,4,Single,4487,1,Yes,11,2,80,0,5,3,3,5,4,1,3,Gen Z
398,37,No,Research & Development,25,5,Medical,2,Female,72,3,Research Scientist,3,Married,4449,3,Yes,15,1,80,2,15,2,3,13,11,10,7,Millenials
399,31,No,Research & Development,1,2,Life Sciences,4,Male,98,2,Laboratory Technician,1,Married,2218,1,No,12,3,80,1,4,3,3,4,2,3,2,Millenials
400,39,No,Research & Development,1,1,Life Sciences,2,Male,52,3,Manager,3,Divorced,19197,1,Yes,14,3,80,1,21,3,3,21,8,1,6,Millenials
401,56,No,Sales,6,3,Life Sciences,3,Female,86,4,Sales Executive,1,Married,13212,9,No,11,4,80,3,36,0,2,7,7,7,7,Baby Boomers
402,30,No,Sales,12,3,Technical Degree,2,Female,83,3,Sales Executive,3,Single,6577,0,No,11,2,80,0,6,6,3,5,4,4,4,Millenials
403,41,No,Sales,1,3,Marketing,2,Male,49,4,Sales Executive,1,Married,8392,1,No,16,3,80,1,10,2,3,10,7,0,7,Gen X
404,28,No,Research & Development,17,2,Medical,3,Male,79,3,Laboratory Technician,1,Divorced,4558,1,No,12,4,80,1,10,2,3,10,0,1,8,Millenials
405,25,Yes,Research & Development,3,3,Medical,1,Male,91,3,Laboratory Technician,1,Married,4031,5,No,13,3,80,1,6,5,3,2,2,0,2,Gen Z
406,52,No,Research & Development,3,3,Medical,4,Male,39,2,Manufacturing Director,3,Married,7969,2,Yes,14,3,80,0,28,4,3,5,4,0,4,Gen X
407,45,No,Research & Development,10,2,Life Sciences,1,Male,69,3,Research Scientist,4,Married,2654,3,No,21,4,80,2,8,3,2,2,2,0,2,Gen X
408,52,No,Research & Development,4,2,Life Sciences,4,Female,30,3,Manager,4,Married,16555,2,No,13,4,80,0,31,2,1,5,2,1,4,Gen X
409,42,No,Research & Development,29,2,Life Sciences,1,Female,92,3,Research Scientist,3,Divorced,4556,2,No,11,2,80,1,19,3,3,5,4,0,2,Gen X
410,30,No,Research & Development,2,3,Life Sciences,3,Female,43,1,Manufacturing Director,4,Single,6091,2,No,20,3,80,0,11,2,3,5,4,0,2,Millenials
411,60,No,Research & Development,7,3,Life Sciences,1,Female,41,3,Manager,1,Married,19566,5,No,11,4,80,0,33,5,1,29,8,11,10,Baby Boomers
412,46,No,Research & Development,18,3,Medical,3,Female,87,3,Manufacturing Director,3,Divorced,4810,2,No,14,3,80,1,19,5,2,10,7,0,8,Gen X
413,42,No,Research & Development,28,4,Technical Degree,4,Female,88,2,Healthcare Representative,4,Married,4523,0,No,11,4,80,3,7,4,4,6,5,0,4,Gen X
414,24,Yes,Sales,1,1,Technical Degree,1,Female,62,3,Sales Representative,2,Single,3202,1,Yes,16,2,80,0,6,4,3,5,3,1,4,Gen Z
415,34,Yes,Sales,6,2,Marketing,4,Female,33,1,Sales Representative,3,Divorced,2351,0,No,16,4,80,1,3,3,2,2,2,1,0,Millenials
416,38,No,Research & Development,2,2,Life Sciences,4,Male,42,3,Laboratory Technician,4,Married,1702,1,Yes,23,3,80,1,1,3,3,1,0,0,0,Millenials
417,40,No,Sales,2,4,Life Sciences,3,Female,79,3,Manager,3,Married,18041,0,No,14,4,80,0,21,2,3,20,15,1,12,Millenials
418,26,No,Research & Development,23,3,Life Sciences,1,Female,90,3,Research Scientist,4,Divorced,2886,1,No,22,2,80,2,3,3,1,3,2,0,2,Millenials
419,30,No,Research & Development,3,3,Life Sciences,3,Male,53,3,Laboratory Technician,4,Married,2097,4,No,15,3,80,1,9,3,1,5,3,1,4,Millenials
420,29,No,Research & Development,3,4,Medical,2,Male,93,2,Research Director,3,Married,11935,1,No,18,3,80,0,10,2,3,10,2,0,7,Millenials
421,29,Yes,Research & Development,25,5,Technical Degree,3,Female,71,2,Research Scientist,2,Married,2546,5,No,16,2,80,0,6,2,4,2,2,1,1,Millenials
422,19,Yes,Human Resources,2,2,Technical Degree,1,Male,52,2,Human Resources,4,Single,2564,1,No,12,3,80,0,1,3,4,1,0,0,0,Gen Z
423,30,No,Sales,22,4,Other,3,Female,69,3,Sales Executive,1,Married,8412,0,No,11,3,80,0,10,3,3,9,8,7,8,Millenials
424,57,No,Sales,29,3,Marketing,1,Male,56,2,Manager,4,Divorced,14118,3,No,12,3,80,1,32,3,2,1,0,0,0,Baby Boomers
425,50,No,Research & Development,29,4,Life Sciences,2,Male,88,2,Manager,3,Married,17046,0,No,15,2,80,1,28,2,3,27,10,15,7,Gen X
426,30,No,Research & Development,2,3,Medical,3,Female,49,3,Laboratory Technician,4,Single,2564,0,No,14,3,80,0,12,2,2,11,7,6,7,Millenials
427,60,No,Sales,28,3,Marketing,3,Female,80,2,Sales Executive,1,Married,10266,4,No,19,4,80,0,22,5,4,18,13,13,11,Baby Boomers
428,47,No,Research & Development,2,2,Medical,1,Female,65,3,Manufacturing Director,4,Divorced,5070,5,No,13,3,80,3,20,2,3,5,0,0,4,Gen X
429,46,No,Research & Development,2,3,Life Sciences,1,Male,51,3,Research Director,3,Married,17861,6,No,13,3,80,0,26,2,1,3,2,0,1,Gen X
430,35,No,Research & Development,22,3,Life Sciences,4,Male,46,1,Laboratory Technician,3,Single,4230,0,No,15,3,80,0,6,2,3,5,4,4,3,Millenials
431,54,No,Research & Development,8,4,Life Sciences,3,Female,42,3,Laboratory Technician,3,Single,3780,7,No,11,3,80,0,19,3,3,1,0,0,0,Gen X
432,34,No,Research & Development,2,4,Life Sciences,4,Male,62,2,Research Scientist,3,Divorced,2768,3,No,12,3,80,1,14,3,3,7,3,5,7,Millenials
433,46,No,Sales,10,3,Marketing,3,Female,94,2,Sales Executive,4,Married,9071,2,Yes,19,3,80,1,15,3,3,3,2,1,2,Gen X
434,31,No,Research & Development,9,1,Life Sciences,3,Male,33,3,Manufacturing Director,2,Divorced,10648,1,No,25,4,80,1,13,6,4,13,8,0,8,Millenials
435,33,Yes,Research & Development,15,1,Medical,2,Male,56,3,Manager,3,Married,13610,7,Yes,12,4,80,0,15,2,4,7,6,7,7,Millenials
436,33,Yes,Research & Development,10,1,Medical,1,Male,38,1,Laboratory Technician,4,Divorced,3408,7,No,13,1,80,3,8,2,3,4,3,1,3,Millenials
437,30,No,Sales,7,1,Marketing,4,Male,57,3,Sales Representative,2,Single,2983,0,No,14,1,80,0,4,3,3,3,2,1,2,Millenials
438,35,No,Research & Development,16,3,Life Sciences,4,Male,72,3,Healthcare Representative,3,Married,7632,4,Yes,12,3,80,0,10,2,3,8,7,0,0,Millenials
439,31,Yes,Research & Development,20,3,Life Sciences,1,Male,66,3,Healthcare Representative,3,Married,9824,3,No,12,1,80,0,12,2,3,1,0,0,0,Millenials
440,34,Yes,Human Resources,23,3,Human Resources,2,Female,43,3,Human Resources,1,Divorced,9950,9,Yes,15,3,80,3,11,2,3,3,2,0,2,Millenials
441,42,No,Research & Development,5,2,Other,2,Male,97,3,Laboratory Technician,3,Married,2093,4,No,17,4,80,1,8,4,3,2,2,2,0,Gen X
442,36,No,Sales,10,4,Medical,2,Male,32,3,Sales Executive,4,Single,9980,1,No,14,4,80,0,10,3,2,10,3,9,7,Millenials
443,22,Yes,Research & Development,4,1,Technical Degree,3,Male,99,2,Laboratory Technician,3,Single,3894,5,No,16,3,80,0,4,3,3,2,2,1,2,Gen Z
444,48,No,Sales,2,5,Marketing,2,Female,37,3,Sales Executive,4,Married,4051,2,No,14,1,80,1,14,2,3,9,7,6,7,Gen X
445,55,No,Sales,18,5,Life Sciences,1,Female,83,3,Manager,2,Single,16835,3,No,23,4,80,0,37,2,3,10,9,7,7,Gen X
446,41,No,Sales,10,2,Life Sciences,4,Male,56,3,Sales Executive,4,Single,6230,7,No,14,4,80,0,16,3,3,14,3,1,10,Gen X
447,35,No,Sales,1,3,Marketing,2,Male,85,3,Sales Executive,3,Married,4717,9,No,11,3,80,0,15,2,3,11,9,6,9,Millenials
448,40,No,Research & Development,6,3,Life Sciences,2,Female,75,3,Manufacturing Director,3,Single,13237,7,No,15,3,80,0,22,3,3,20,6,5,13,Millenials
449,39,No,Research & Development,8,1,Life Sciences,3,Female,48,3,Laboratory Technician,3,Married,3755,1,No,11,1,80,1,8,3,3,8,3,0,7,Millenials
450,31,No,Sales,2,1,Life Sciences,2,Male,77,3,Sales Executive,4,Single,6582,4,Yes,13,3,80,0,10,2,4,6,5,0,5,Millenials
451,42,No,Research & Development,24,3,Medical,4,Male,56,3,Manufacturing Director,1,Married,7406,1,Yes,21,4,80,1,10,5,2,10,9,5,8,Gen X
452,45,No,Sales,2,3,Other,4,Male,61,3,Sales Executive,2,Married,4805,0,No,19,2,80,1,9,3,4,8,7,3,7,Gen X
453,26,Yes,Human Resources,17,4,Life Sciences,2,Female,58,3,Human Resources,3,Divorced,2741,0,Yes,11,2,80,1,8,2,2,7,7,1,0,Millenials
454,29,No,Research & Development,19,3,Technical Degree,4,Male,34,3,Manufacturing Director,4,Divorced,4262,4,No,12,2,80,2,8,2,4,3,2,1,2,Millenials
455,33,No,Research & Development,1,5,Medical,1,Female,95,4,Research Director,3,Divorced,16184,4,No,19,3,80,1,10,2,3,6,1,0,5,Millenials
456,31,No,Sales,7,3,Life Sciences,3,Male,44,2,Manager,4,Divorced,11557,9,No,21,3,80,1,10,3,2,5,4,0,1,Millenials
457,18,Yes,Sales,5,3,Marketing,2,Male,69,3,Sales Representative,2,Single,1878,1,Yes,14,4,80,0,0,3,3,0,0,0,0,Gen Z
458,40,No,Sales,28,3,Other,3,Male,58,1,Sales Executive,1,Divorced,10932,3,No,15,3,80,1,20,2,3,1,0,0,1,Millenials
459,41,No,Research & Development,2,4,Other,1,Female,62,2,Healthcare Representative,3,Single,6811,2,Yes,17,1,80,0,10,3,3,8,7,0,7,Gen X
460,26,No,Sales,29,2,Medical,1,Male,45,3,Sales Executive,3,Divorced,4306,5,No,12,1,80,2,8,5,3,0,0,0,0,Millenials
461,35,No,Sales,1,3,Medical,1,Female,80,3,Sales Executive,3,Single,4859,1,No,16,4,80,0,5,3,3,5,4,0,3,Millenials
462,34,No,Sales,21,4,Life Sciences,4,Male,74,4,Sales Executive,4,Single,5337,1,No,12,4,80,0,10,3,3,10,7,5,7,Millenials
463,26,Yes,Research & Development,24,3,Technical Degree,3,Male,66,1,Laboratory Technician,4,Single,2340,1,Yes,18,2,80,0,1,3,1,1,0,0,0,Millenials
464,37,No,Research & Development,1,3,Technical Degree,2,Female,59,3,Manufacturing Director,4,Single,7491,4,No,17,4,80,0,12,3,4,6,5,1,2,Millenials
465,46,No,Research & Development,18,1,Medical,1,Female,86,3,Healthcare Representative,3,Married,10527,5,No,11,4,80,0,28,3,2,2,2,1,2,Gen X
466,41,No,Sales,2,5,Life Sciences,2,Female,91,3,Manager,1,Married,16595,7,No,16,2,80,1,22,2,3,18,16,11,8,Gen X
467,37,No,Sales,9,4,Medical,1,Male,69,3,Sales Executive,2,Divorced,8834,1,No,13,4,80,1,9,6,3,9,5,7,7,Millenials
468,52,No,Research & Development,6,2,Technical Degree,4,Male,78,3,Research Scientist,1,Divorced,5577,3,Yes,12,2,80,2,18,3,3,10,9,6,9,Gen X
469,32,Yes,Sales,11,4,Other,4,Male,60,4,Sales Executive,3,Married,4707,8,No,12,4,80,0,6,2,3,4,2,1,2,Millenials
470,24,No,Sales,24,3,Medical,4,Male,38,3,Sales Representative,4,Married,2400,0,No,13,3,80,2,3,3,3,2,2,2,1,Gen Z
471,38,No,Research & Development,10,3,Medical,3,Female,76,3,Healthcare Representative,3,Married,9824,3,No,19,3,80,1,18,4,3,1,0,0,0,Millenials
472,37,No,Research & Development,1,4,Life Sciences,2,Female,65,3,Manufacturing Director,2,Married,6447,6,No,12,2,80,1,8,2,2,6,5,4,3,Millenials
473,49,No,Research & Development,18,4,Life Sciences,4,Male,58,2,Research Director,3,Divorced,19502,1,Yes,17,3,80,1,31,5,3,31,9,0,9,Gen X
474,24,No,Research & Development,23,3,Medical,2,Male,89,4,Research Scientist,4,Married,2725,1,Yes,11,2,80,2,6,3,3,6,5,1,4,Gen Z
475,26,No,Sales,28,2,Marketing,1,Male,66,3,Sales Executive,2,Married,6272,1,No,20,4,80,2,6,5,4,5,3,1,4,Millenials
476,24,No,Research & Development,17,2,Other,4,Male,94,2,Laboratory Technician,2,Married,2127,1,No,21,4,80,1,1,2,3,1,0,0,0,Gen Z
477,50,No,Human Resources,3,3,Medical,1,Male,99,3,Manager,2,Married,18200,1,No,11,3,80,1,32,2,3,32,5,10,7,Gen X
478,25,No,Sales,13,1,Medical,2,Male,40,3,Sales Representative,3,Married,2096,1,No,11,3,80,0,7,1,3,7,4,0,6,Gen Z
479,24,Yes,Research & Development,7,3,Life Sciences,1,Female,55,3,Laboratory Technician,3,Married,2886,1,Yes,16,4,80,1,6,4,3,6,3,1,2,Gen Z
480,30,Yes,Sales,12,4,Life Sciences,2,Male,74,2,Sales Representative,1,Married,2033,1,No,18,3,80,1,1,2,4,1,0,0,0,Millenials
481,34,No,Research & Development,1,2,Life Sciences,2,Male,83,2,Research Scientist,4,Married,3622,1,Yes,13,4,80,1,6,3,3,6,5,1,3,Millenials
482,31,Yes,Sales,13,4,Medical,2,Male,46,3,Sales Executive,1,Divorced,4233,2,No,17,3,80,0,9,2,1,3,1,1,2,Millenials
483,35,No,Research & Development,25,2,Other,1,Male,54,2,Laboratory Technician,4,Single,3681,4,No,14,4,80,0,9,3,3,3,2,0,2,Millenials
484,31,No,Sales,6,4,Medical,1,Male,66,4,Sales Executive,4,Divorced,5460,4,No,22,4,80,2,13,4,4,7,7,5,7,Millenials
485,27,No,Research & Development,6,4,Medical,1,Female,66,2,Research Scientist,3,Divorced,2187,0,No,12,3,80,2,6,5,2,5,3,0,3,Millenials
486,37,No,Sales,2,3,Marketing,4,Male,75,3,Sales Executive,3,Married,9602,4,Yes,11,3,80,1,17,3,2,3,0,1,0,Millenials
487,20,No,Research & Development,1,3,Life Sciences,4,Female,83,2,Research Scientist,2,Single,2836,1,No,13,4,80,0,1,0,4,1,0,0,0,Gen Z
488,42,No,Research & Development,2,4,Life Sciences,3,Female,81,3,Healthcare Representative,4,Married,4089,1,No,13,2,80,2,10,4,3,10,2,2,2,Gen X
489,43,No,Research & Development,6,4,Other,2,Male,50,2,Research Director,4,Divorced,16627,4,Yes,14,3,80,1,21,3,2,1,0,0,0,Gen X
490,38,No,Research & Development,1,1,Life Sciences,3,Female,43,3,Research Scientist,1,Single,2619,3,No,17,4,80,0,8,3,2,0,0,0,0,Millenials
491,43,No,Research & Development,9,5,Medical,4,Male,72,3,Laboratory Technician,3,Divorced,5679,3,Yes,13,2,80,1,10,3,3,8,7,4,7,Gen X
492,48,No,Research & Development,1,4,Life Sciences,4,Female,40,2,Manager,1,Married,15402,7,No,11,1,80,1,21,3,1,3,2,0,2,Gen X
493,44,No,Human Resources,1,4,Life Sciences,1,Female,50,2,Human Resources,3,Single,5985,4,No,11,2,80,0,10,1,4,2,2,0,2,Gen X
494,34,No,Sales,14,3,Technical Degree,3,Female,31,3,Sales Representative,3,Divorced,2579,1,Yes,18,4,80,2,8,3,3,8,2,0,6,Millenials
495,27,Yes,Sales,2,1,Marketing,3,Male,85,3,Sales Representative,1,Divorced,3041,0,No,11,2,80,1,5,3,3,4,3,0,2,Millenials
496,21,No,Sales,22,1,Technical Degree,3,Male,49,3,Sales Representative,3,Single,3447,1,No,11,3,80,0,3,2,3,3,2,1,2,Gen Z
497,44,No,Research & Development,3,4,Other,4,Male,35,3,Manager,4,Married,19513,4,Yes,12,1,80,1,26,2,4,2,2,0,1,Gen X
498,22,No,Research & Development,6,1,Medical,1,Male,69,3,Research Scientist,3,Married,2773,0,No,20,4,80,0,3,3,3,2,2,2,2,Gen Z
499,33,No,Sales,8,4,Marketing,3,Male,39,3,Sales Executive,3,Divorced,7104,0,No,12,4,80,0,6,3,3,5,0,1,2,Millenials
500,32,No,Research & Development,9,4,Life Sciences,1,Female,92,3,Research Scientist,4,Married,6322,1,Yes,12,4,80,1,6,2,2,6,4,0,5,Millenials
501,30,No,Research & Development,3,3,Medical,3,Female,71,3,Research Scientist,3,Divorced,2083,1,No,20,3,80,1,1,2,3,1,0,0,0,Millenials
502,53,No,Sales,1,1,Medical,4,Female,34,3,Sales Executive,1,Single,8381,7,No,20,4,80,0,18,2,4,14,7,8,10,Gen X
503,34,No,Research & Development,1,5,Life Sciences,2,Male,42,3,Research Scientist,4,Married,2691,1,No,12,4,80,1,10,4,2,10,9,8,8,Millenials
504,45,Yes,Sales,26,4,Life Sciences,1,Female,100,3,Sales Executive,1,Married,4286,2,No,14,4,80,2,5,4,3,1,1,0,0,Gen X
505,26,No,Research & Development,6,3,Life Sciences,3,Female,71,3,Laboratory Technician,4,Married,2659,1,Yes,13,3,80,1,3,2,3,3,2,0,2,Millenials
506,37,No,Research & Development,3,3,Other,3,Male,36,3,Manufacturing Director,3,Married,9434,1,No,15,3,80,1,10,2,3,10,7,7,8,Millenials
507,29,No,Sales,3,2,Medical,2,Female,62,3,Sales Executive,3,Married,5561,1,No,14,1,80,1,6,5,2,6,0,1,2,Millenials
508,35,No,Research & Development,6,4,Life Sciences,2,Male,82,1,Research Scientist,4,Single,6646,1,No,13,2,80,0,17,3,3,17,11,11,8,Millenials
509,33,No,Research & Development,6,3,Life Sciences,3,Male,30,3,Healthcare Representative,4,Divorced,7725,3,No,23,3,80,1,15,2,1,13,11,4,7,Millenials
510,54,No,Human Resources,19,4,Medical,3,Male,88,3,Human Resources,2,Married,10725,2,No,15,3,80,1,16,1,4,9,7,7,1,Gen X
511,36,No,Research & Development,9,2,Medical,2,Male,48,2,Manufacturing Director,2,Divorced,8847,2,Yes,11,3,80,1,13,2,3,3,2,0,2,Millenials
512,27,No,Research & Development,3,4,Medical,1,Male,54,2,Research Scientist,4,Single,2045,0,No,13,4,80,0,5,0,3,4,2,1,1,Millenials
513,20,Yes,Research & Development,10,1,Medical,4,Male,32,3,Research Scientist,3,Single,1009,1,Yes,11,4,80,0,1,5,3,1,0,1,1,Gen Z
514,33,Yes,Research & Development,3,3,Life Sciences,1,Male,70,3,Research Scientist,1,Single,3348,1,Yes,11,1,80,0,10,3,3,10,8,9,7,Millenials
515,35,No,Research & Development,3,3,Life Sciences,3,Male,41,2,Laboratory Technician,3,Married,1281,1,No,18,3,80,2,1,3,3,1,0,0,0,Millenials
516,23,No,Research & Development,4,3,Medical,1,Male,58,4,Research Scientist,1,Married,2819,2,No,16,1,80,1,5,3,4,3,2,0,2,Gen Z
517,25,No,Sales,8,3,Life Sciences,4,Male,57,4,Sales Executive,2,Married,4851,0,No,22,3,80,1,4,4,3,3,2,1,2,Gen Z
518,38,No,Sales,7,4,Marketing,4,Female,46,2,Sales Executive,4,Single,4028,0,No,20,1,80,0,8,2,3,7,7,0,5,Millenials
519,29,No,Research & Development,1,4,Life Sciences,2,Male,76,1,Research Scientist,4,Divorced,2720,1,No,18,4,80,1,10,5,3,10,7,2,8,Millenials
520,48,No,Sales,2,1,Marketing,2,Male,56,4,Sales Executive,2,Married,8120,3,No,12,4,80,0,12,3,3,2,2,2,2,Gen X
521,27,No,Sales,3,1,Medical,4,Female,71,4,Sales Executive,4,Divorced,4647,1,Yes,20,2,80,2,6,3,3,6,5,0,4,Millenials
522,37,No,Research & Development,10,2,Life Sciences,4,Male,80,4,Research Scientist,4,Single,4680,3,No,17,1,80,0,4,2,3,1,0,0,0,Millenials
523,50,No,Research & Development,28,1,Medical,4,Male,74,4,Laboratory Technician,3,Married,3221,1,Yes,11,3,80,3,20,3,3,20,8,3,8,Gen X
524,34,No,Research & Development,9,3,Medical,4,Female,46,2,Healthcare Representative,2,Single,8621,1,No,14,2,80,0,9,3,4,8,7,7,7,Millenials
